date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2025-05-15,20043.4141330719,140359.1141719818,0,1474,925,3691,688
2025-05-16,20043.4141330719,143440.58465385437,0,1474,925,3691,688
2025-05-19,20043.4141330719,143340.46205425262,0,1474,925,3691,688
2025-05-20,20048.784348487854,142387.15369319916,0,2134,1085,4738,0
2025-05-21,20060.295930862427,140968.59551143646,0,1660,821,3401,783
2025-05-22,20016.8174161911,144354.61753749847,0,0,1565,6700,0
2025-05-23,20016.8174161911,157602.3649778366,0,0,1565,6700,0
2025-05-27,20054.557534217834,166278.3182706833,0,2467,904,5276,0
2025-05-28,20054.557534217834,165065.4076166153,0,2467,904,5276,0
2025-05-29,20094.149271965027,159089.06906986237,0,1872,656,4043,900
2025-05-30,20039.65984916687,157096.07893943787,0,0,1300,0,1818
2025-06-02,20048.244955062866,156077.60139274597,0,0,2594,0,0
2025-06-03,20031.863055229187,149151.62614250183,0,0,1297,7263,0
2025-06-04,20072.864550590515,152191.68546962738,0,1631,673,3504,829
2025-06-05,75.98753070831299,148956.77413845062,2581,1631,673,3504,829
2025-06-06,19.864164352416992,155531.6178188324,0,2380,0,5317,1324
2025-06-09,73.46566963195801,161370.72529792786,0,1882,743,3901,964
2025-06-10,73.46566963195801,160832.5940246582,0,1882,743,3901,964
2025-06-11,73.46566963195801,171983.2363576889,0,1882,743,3901,964
2025-06-12,73.46566963195801,169342.97772598267,0,1882,743,3901,964
2025-06-13,73.46566963195801,167999.57669448853,0,1882,743,3901,964
2025-06-16,73.46566963195801,175008.27074432373,0,1882,743,3901,964
2025-06-17,73.46566963195801,167488.9882297516,0,1882,743,3901,964
2025-06-18,97.04704189300537,169788.80572414398,0,0,1368,0,1820
2025-06-20,97.04704189300537,164148.2514181137,0,0,1368,0,1820
2025-06-23,53.39043140411377,160936.52926540375,0,2377,0,5032,1142
2025-06-24,53.39043140411377,166737.102227211,0,2377,0,5032,1142
2025-06-25,87.6206579208374,165085.93076229095,0,1910,742,3476,873
2025-06-26,13.371706008911133,171164.0969877243,0,0,0,6527,1804
2025-06-27,40.74174690246582,176449.97445869446,0,2651,0,4201,1247
2025-06-30,40.74174690246582,181212.67876434326,0,2651,0,4201,1247
2025-07-01,47.4931640625,178753.71645736694,1295,2692,0,3912,0
2025-07-02,62.977237701416016,197776.18616104126,1690,0,0,6314,0
2025-07-03,64.49095153808594,334347.45976638794,619,3448,0,4969,1801
2025-07-07,64.49095153808594,316234.13846969604,619,3448,0,4969,1801
2025-07-08,101.34500503540039,319927.69733428955,717,3291,1494,4735,0
2025-07-09,95.7020263671875,303287.16131973267,1136,2640,0,4470,1641
2025-07-10,39.67403030395508,273760.7705383301,0,3530,0,5358,1943
2025-07-11,105.13101196289062,266214.88052749634,0,2620,1186,4100,1443
2025-07-14,100.63040161132812,274285.2305870056,0,3521,1464,5290,0
2025-07-15,100.63040161132812,267743.13519859314,0,3521,1464,5290,0
2025-07-16,100.63040161132812,272841.7034778595,0,3521,1464,5290,0
2025-07-17,60.82151985168457,279517.5118045807,0,0,2080,7742,0
2025-07-18,60.82151985168457,282430.71263694763,0,0,2080,7742,0
2025-07-21,91.98722076416016,270598.9150753021,0,3556,1442,4969,0
2025-07-22,91.98722076416016,273096.218624115,0,3556,1442,4969,0
2025-07-23,30.540653228759766,286644.87567329407,0,5329,0,7547,0
2025-07-24,64.17403411865234,313109.86336517334,0,2367,1049,4315,1861
2025-07-25,74.85419464111328,316063.53058052063,0,3067,1395,5945,0
2025-07-28,39.51544761657715,310635.7099971771,0,4465,2057,0,0
2025-07-29,39.51544761657715,301265.83984184265,0,4465,2057,0,0
2025-07-30,54.65352439880371,323583.7150287628,0,2867,1426,0,2485
2025-07-31,54.65352439880371,323125.312002182,0,2867,1426,0,2485
2025-08-01,54.65352439880371,309980.6885280609,0,2867,1426,0,2485
