date,ticker,delta_shares,price,cash_after
2025-01-28,IREN,-2967,10.079999923706055,128837.30640888214
2025-01-29,OKLO,2516,35.29999923706055,40022.508328437805
2025-02-06,BE,1616,24.780000686645508,-21.97278118133545
2025-02-06,OKLO,-1678,47.7599983215332,80119.30440235138
2025-02-06,IREN,3456,11.59000015258789,40064.26387500763
2025-02-12,BE,-1616,23.479999542236328,78007.94313526154
2025-02-12,OKLO,343,54.380001068115234,59355.60276889801
2025-02-12,IREN,1484,13.010000228881836,40048.762429237366
2025-02-14,BE,1926,25.40999984741211,-28870.897276878357
2025-02-14,OKLO,-251,52.619998931884766,-15663.27754497528
2025-02-14,IREN,-1179,13.010000228881836,-324.4872751235962
2025-02-14,SNDK,-555,36.650001525878906,20016.263571739197
2025-02-18,BE,-528,26.020000457763672,33754.823813438416
2025-02-18,OKLO,-205,50.189998626708984,44043.77353191376
2025-02-18,IREN,-955,12.970000267028809,56430.12378692627
2025-02-18,SNDK,771,47.150001525878906,20077.472610473633
2025-02-19,BE,385,26.5,9874.972610473633
2025-02-19,OKLO,-725,45.119998931884766,42586.97183609009
2025-02-19,IREN,829,13.0,31809.971836090088
2025-02-19,SNDK,256,46.0,20033.971836090088
2025-02-21,BE,997,24.170000076293945,-4063.5182399749756
2025-02-21,IREN,-3635,10.880000114440918,35485.28217601776
2025-02-21,SNDK,307,50.369998931884766,20021.69250392914
2025-02-24,BE,-2780,22.700000762939453,83127.69462490082
2025-02-24,SNDK,1298,48.599998474121094,20044.89660549164
2025-02-28,SNDK,-2632,46.849998474121094,143354.09258937836
2025-03-03,BE,2633,23.420000076293945,81689.2323884964
2025-03-03,SNDK,1225,50.310001373291016,20059.480706214905
2025-03-04,BE,-2633,22.700000762939453,79828.58271503448
2025-03-04,SNDK,1228,48.689998626708984,20037.264401435852
2025-03-06,BE,2548,22.389999389648438,-37012.45404338837
2025-03-06,SNDK,-1227,46.5,20043.045956611633
2025-03-07,BE,-2548,23.079999923706055,78850.88576221466
2025-03-07,SNDK,-1226,51.0,141376.88576221466
2025-03-10,SNDK,2290,53.0,20006.88576221466
2025-03-12,BE,2352,24.549999237060547,-37734.712443351746
2025-03-12,SNDK,-1145,50.439998626708984,20019.08598423004
2025-03-14,BE,2565,24.469999313354492,-42746.46225452423
2025-03-14,SNDK,-1145,54.81999969482422,20022.4373960495
2025-03-17,BE,-3278,24.190000534057617,99317.25914669037
2025-03-17,OKLO,1416,28.0,59669.25914669037
2025-03-17,SNDK,712,55.650001525878906,20046.458060264587
2025-03-19,BE,-1639,24.309999465942383,59890.54718494415
2025-03-19,OKLO,-1416,28.049999237060547,99609.34610462189
2025-03-19,SNDK,1413,56.33000183105469,20015.053517341614
2025-03-20,BE,1567,25.40999984741211,-19802.41624355316
2025-03-20,OKLO,1433,27.770000457763672,-59596.8268995285
2025-03-20,SNDK,-1417,56.209999084472656,20052.74180316925
2025-03-24,BE,-1567,23.030000686645508,56140.75287914276
2025-03-24,OKLO,-1433,30.90999984741211,100434.78266048431
2025-03-24,SNDK,1517,52.9900016784668,20048.950114250183
2025-03-25,OKLO,2008,28.93000030517578,-38042.490498542786
2025-03-25,IREN,7850,7.400000095367432,-96132.49124717712
2025-03-25,SNDK,-2225,52.20000076293945,20012.51045036316
2025-03-27,OKLO,-2008,23.81999969482422,67843.06983757019
2025-03-27,IREN,-7850,6.460000038146973,118554.07013702393
2025-04-03,IREN,16316,6.039999961853027,20005.43075942993
2025-04-04,IREN,-16316,5.940000057220459,116922.47169303894
2025-04-10,OKLO,4265,22.719999313354492,20021.67462158203
2025-04-14,OKLO,-4265,22.549999237060547,116197.42136764526
2025-04-16,BE,2697,17.829999923706055,68109.91157341003
2025-04-16,OKLO,2230,21.559999465942383,20031.11276435852
2025-04-17,BE,-2697,17.0,65880.11276435852
2025-04-17,OKLO,-2230,21.979999542236328,114895.51174354553
2025-04-23,IREN,15556,6.099999904632568,20003.9132270813
2025-04-24,OKLO,2014,24.31999969482422,-28976.566158294678
2025-04-24,IREN,-7778,6.300000190734863,20024.83532524109
2025-04-25,BE,1303,18.93000030517578,-4640.955072402954
2025-04-25,OKLO,-975,23.739999771118164,18505.544704437256
2025-04-25,IREN,-4005,6.539999961853027,44698.24455165863
2025-04-25,SNDK,751,32.849998474121094,20027.89569759369
2025-05-01,BE,1605,16.809999465942383,-6952.153445243835
2025-05-01,OKLO,819,26.309999465942383,-28500.043007850647
2025-05-01,IREN,-3773,6.369999885559082,-4466.0334396362305
2025-05-01,SNDK,-751,32.59000015258789,20009.056674957275
2025-05-02,BE,-2908,16.440000534057617,67816.57822799683
2025-05-02,OKLO,-632,26.239999771118164,84400.2580833435
2025-05-02,IREN,4929,6.53000020980835,52213.88704919815
2025-05-02,SNDK,935,34.400001525878906,20049.885622501373
2025-05-06,OKLO,498,28.65999984741211,5777.205698490143
2025-05-06,IREN,-4929,6.5,37815.70569849014
2025-05-06,SNDK,526,33.83000183105469,20021.124735355377
2025-05-07,OKLO,-522,27.1200008392334,34177.76517343521
2025-05-07,IREN,4965,6.570000171661377,1557.7143211364746
2025-05-07,SNDK,-529,34.970001220703125,20056.844966888428
2025-05-09,BE,1474,17.6200008392334,-5915.036270141602
2025-05-09,OKLO,-277,28.09000015258789,1865.8937721252441
2025-05-09,IREN,-1274,7.039999961853027,10834.853723526001
2025-05-09,SNDK,-244,37.7400016784668,20043.4141330719
2025-05-20,BE,660,19.110000610351562,7430.813730239868
2025-05-20,OKLO,160,37.56999969482422,1419.6137790679932
2025-05-20,IREN,1047,8.609999656677246,-7595.0558614730835
2025-05-20,SNDK,-688,40.18000030517578,20048.784348487854
2025-05-21,BE,-474,18.209999084472656,28680.323914527893
2025-05-21,OKLO,-264,36.810001373291016,38398.16427707672
2025-05-21,IREN,-1337,8.890000343322754,50284.09473609924
2025-05-21,SNDK,783,38.599998474121094,20060.295930862427
2025-05-22,BE,-1660,18.3700008392334,50554.49732398987
2025-05-22,OKLO,744,39.720001220703125,21002.816415786743
2025-05-22,IREN,3299,9.279999732971191,-9611.902703285217
2025-05-22,SNDK,-783,37.84000015258789,20016.8174161911
2025-05-27,BE,2467,19.760000228881836,-28731.10314846039
2025-05-27,OKLO,-661,53.900001525878906,6896.797860145569
