date,ticker,delta_shares,price,cash_after
2025-07-21,OKLO,52,62.5099983215332,42905.97856092453
2025-07-21,IREN,-86,18.149999618530273,44466.87852811813
2025-07-21,SNDK,1068,41.61000061035156,27.397876262664795
2025-07-22,OKLO,375,61.31999969482422,-22967.602009296417
2025-07-22,IREN,1137,18.59000015258789,-44104.43218278885
2025-07-22,SNDK,-1068,41.36000061035156,68.04846906661987
2025-07-23,OKLO,-1086,66.97000122070312,72797.46979475021
2025-07-23,IREN,3833,18.989999771118164,8.800672054290771
2025-07-24,IREN,-3709,18.139999389648438,67290.05840826035
2025-07-24,SNDK,1599,42.060001373291016,36.116212368011475
2025-07-25,IREN,3835,17.719999313354492,-67920.08115434647
2025-07-25,SNDK,-1599,42.47999954223633,5.438113689422607
2025-07-28,IREN,-7544,16.579999923706055,125084.9575381279
2025-07-30,BE,1662,37.619998931884766,62560.51931333542
2025-07-30,SNDK,1441,43.38999938964844,35.530192852020264
2025-07-31,BE,-557,37.38999938964844,20861.7598528862
2025-07-31,OKLO,539,76.58999633789062,-20420.248173236847
2025-07-31,SNDK,-478,42.91999816894531,95.51095151901245
2025-08-04,BE,2277,36.099998474121094,-82104.18557405472
2025-08-04,OKLO,-539,76.41000366210938,-40919.193600177765
2025-08-04,SNDK,-963,42.5099983215332,17.934783458709717
2025-08-05,BE,-3382,37.61000061035156,127214.9568476677
2025-08-05,IREN,7733,16.450000762939453,7.100947856903076
2025-08-06,BE,911,38.86000061035156,-35394.35960817337
2025-08-06,OKLO,426,83.0999984741211,-70794.95895814896
2025-08-06,IREN,-5800,18.31999969482422,35461.03927183151
2025-08-06,SNDK,841,42.099998474121094,54.94055509567261
2025-08-07,BE,957,36.79999923706055,-35162.65871477127
2025-08-07,OKLO,-426,79.31999969482422,-1372.3388447761536
2025-08-07,IREN,1768,18.56999969482422,-34204.09830522537
2025-08-07,SNDK,-841,40.689998626708984,16.190539836883545
2025-08-08,BE,-627,36.79999923706055,23089.790061473846
2025-08-08,IREN,-1226,18.450000762939453,45709.490996837616
2025-08-08,SNDK,1030,44.34000015258789,39.29083967208862
2025-08-11,BE,-1241,37.650001525878906,46762.94273328781
2025-08-11,IREN,5088,17.969999313354492,-44668.413773059845
2025-08-11,SNDK,-1030,43.369998931884766,2.685126781463623
2025-08-12,IREN,-7563,17.829999923706055,134850.97454977036
2025-08-12,SNDK,2879,46.83000183105469,27.399278163909912
2025-08-13,SNDK,-2879,47.0099983215332,135369.184445858
2025-08-14,BE,1500,45.11000061035156,67704.18353033066
2025-08-14,SNDK,1449,46.68000030517578,64.86308813095093
2025-08-15,BE,-525,45.279998779296875,23836.86244726181
2025-08-15,OKLO,621,71.05999755859375,-20291.39603662491
2025-08-15,IREN,2243,19.690000534057617,-64456.067234516144
2025-08-15,SNDK,-1449,44.540000915527344,82.3940920829773
2025-08-18,BE,-251,46.5,11753.894092082977
2025-08-18,OKLO,-133,68.98999786376953,20929.563807964325
2025-08-18,IREN,-617,20.704999923706055,33704.54876089096
2025-08-18,SNDK,739,45.52000045776367,65.26842260360718
2025-08-19,BE,255,43.099998474121094,-10925.231188297272
2025-08-19,OKLO,157,65.41000366210938,-21194.601763248444
2025-08-19,IREN,626,18.729999542236328,-32919.581476688385
2025-08-19,SNDK,-739,44.58000183105469,25.039876461029053
2025-08-20,BE,2,44.5099983215332,-63.98012018203735
2025-08-20,OKLO,11,66.56999969482422,-796.2501168251038
2025-08-20,IREN,-2252,19.760000228881836,43703.27039861679
2025-08-20,SNDK,983,44.400001525878906,58.06889867782593
2025-08-21,BE,6,44.83000183105469,-210.9111123085022
2025-08-21,OKLO,3,67.19000244140625,-412.48111963272095
2025-08-21,IREN,2260,19.59000015258789,-44685.881464481354
2025-08-21,SNDK,-983,45.5,40.61853551864624
2025-08-22,BE,-252,48.540000915527344,12272.698766231537
2025-08-22,OKLO,-152,70.37999725341797,22970.458348751068
2025-08-22,IREN,-595,21.43000030517578,35721.30853033066
2025-08-22,SNDK,769,46.369998931884766,62.77935171127319
2025-08-25,BE,2241,49.349998474121094,-110530.5672287941
2025-08-25,OKLO,-507,71.19000244140625,-74437.23599100113
2025-08-25,IREN,-1665,23.1200008392334,-35942.43459367752
2025-08-25,SNDK,-769,46.779998779296875,31.384467601776123
2025-08-26,BE,-1984,49.939998626708984,99112.3417429924
2025-08-26,IREN,2155,22.989999771118164,49568.89223623276
2025-08-26,SNDK,1046,47.349998474121094,40.793832302093506
2025-08-27,BE,476,50.849998474121094,-24163.805441379547
2025-08-27,IREN,1184,22.354999542236328,-50632.12489938736
2025-08-27,SNDK,-1046,48.439998626708984,36.11366415023804
2025-08-28,BE,-511,54.79999923706055,28038.913274288177
2025-08-28,IREN,-1062,23.040000915527344,52507.39424657822
2025-08-28,SNDK,1031,50.869998931884766,60.42534780502319
2025-08-29,BE,602,52.939998626708984,-31809.453825473785
2025-08-29,IREN,840,26.479999542236328,-54052.6534409523
2025-08-29,SNDK,-1031,52.470001220703125,43.91781759262085
2025-09-02,BMNR,1340,42.4775276184082,-56875.96919107437
2025-09-02,BE,-451,51.349998474121094,-33717.11987924576
2025-09-02,IREN,-1161,29.110000610351562,79.590829372406
2025-09-03,BMNR,-1340,44.84682846069336,60174.34096670151
2025-09-03,BE,-282,52.45000076293945,74965.24118185043
2025-09-03,OKLO,600,72.2300033569336,31627.239167690277
2025-09-03,IREN,-419,28.209999084472656,43447.22878408432
2025-09-03,SNDK,818,53.0099983215332,85.05015707015991
2025-09-04,BE,799,54.90999984741211,-43788.039721012115
2025-09-04,OKLO,682,69.61000061035156,-91262.06013727188
2025-09-04,IREN,-1537,26.1299991607666,-51100.251427173615
2025-09-04,SNDK,-818,62.5,24.748572826385498
2025-09-05,BMNR,1084,42.02765655517578,-45533.23113298416
2025-09-05,BE,-827,57.06999969482422,1663.6586146354675
2025-09-05,OKLO,-630,69.79000091552734,45631.359191417694
2025-09-05,SNDK,664,68.55000305175781,114.15716505050659
2025-09-08,BMNR,-1084,43.77714538574219,47568.58276319504
2025-09-08,BE,58,53.439998626708984,44469.06284284592
2025-09-08,OKLO,-5,70.72000122070312,44822.66284894943
2025-09-08,IREN,1748,26.190000534057617,-957.4580845832825
